mineral_name,strunz_number
Fluorine,
Fluorite,03.AB.25
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorite,
Yttrofluorine,
Yttrocerite [pas une espèce],
Fluocerite,03.AC.15
Molysite,03.AC.10
Fluellite,08.DE.10
Avogadrite,03.CA.10
Prosopite,03.CD.10
Cryolithionite,03.CB.05
Cryolite,03.CB.15
Cryolite,03.CB.15
Gearksuttite,
Creedite,03.CG.15
Thomsenolite,03.CB.40
Thomsenolite,03.CB.40
Pachnolite,03.CB.40
Pachnolite,03.CB.40
Hydrokenoralstonite,
Fluorine,
Rinneite,03.CJ.05
Carnallite,03.BA.10
Carnallite,03.BA.10
Carnallite,03.BA.10
Tachyhydrite,03.BB.35
Koenenite,03.BD.25
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Atacamite,03.DA.10a
Connelite,
Kleinite,03.DD.35
Boleite,03.DB.15
Boleite,03.DB.15
Boleite,03.DB.15
Cumengeite,
Cumengeite,
Cotunnite,03.DC.85
Cotunnite,03.DC.85
Cotunnite,03.DC.85
Matlockite,03.DC.25
Matlockite,03.DC.25
Matlockite,03.DC.25
Matlockite,03.DC.25
Daubréeite,03.DC.25
Mendipite,03.DC.70
Nadorite,03.DC.30
Nadorite,03.DC.30
Nadorite,03.DC.30
Nadorite,03.DC.30
Nadorite,03.DC.30
Ecdemite,03.DC.65
Ecdemite,03.DC.65
Algodonite,02.AA.10a
Algodonite,02.AA.10a
Domeykite,02.AA.10b
Domeykite,02.AA.10b
Domeykite,02.AA.10b
Huntilite pas un espèce minéral,
Dyscrasite,02.AA.35
Dyscrasite,02.AA.35
Dyscrasite,02.AA.35
Dyscrasite,02.AA.35
Maucherite,02.AB.15
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Chalcosine,
Berzelianite,02.BA.15a
Crookesite,02.BD.50
Berzelianite,02.BA.15a
