catalog_number,location
913,"Tayana, Ural, Russia"
917,"Schlägeisental, Val di Vicce, Italy"
918,"Val di Vicce, Italy"
921,"Schaffenburg (Aschaffenburg, Bavaria, Germany)"
922,"Becov, Westböhmen, Czechoslovakia"
923,"Moravia, Czechoslovakia"
924,"St. Gotthard, Ticino, Switzerland"
925,"Rukuba Tin Mine, Nigeria"
927,"Mont Garnel, Queensland, Australia"
928,Finbo
929,"Montbelleux near Luitré, France"
930,"Belchen-Strassentunnel, Langenbruck, Basel-Landschaft, Switzerland"
931,"Erajuvari, Finland"
934,"Schneckenstein near Auerbach, Vogtland, Saxony, Germany"
936,"Schneckenstein, Saxony, Germany"
941,"Connecticut, USA"
959,"Plateau Province, Nigeria"
960,"Nertschinsk, Ural, Sibirien, Russia"
962,"Odontschelon, Sibirien, Russia"
963,"Fluss Sanarka, südl. Ural, Russia"
966,"Murschinsk, Ural, Russia"
974,"Alabaschka, Ural, Russia"
982,"Winthrop, Maine, USA"
984,"Georgia, USA"
986,"Szolisva, Offenbanya, Transylvania, Romania"
987,"Kemie, Finland"
988,"Tremousse, Vallée de Héas, Hautes Pyrénées, France"
990,"Scaor, Morbihan, France"
993,"Zuni Mine, Silverton, Colorado, USA"
994,"Silverton, Colorado, USA"
995,"Topas Mountain, Utah, USA"
996,China
997,"Oltrez, Belgium"
999,"Eräjärvi near Tampere, Finland"
1000,"Beresowsk, Ural, Sibirien, Russia"
1002,"Aaue, Schneeberg"
1004,"Freiberg, Saxony, Germany"
1005,"Rochlitz, Saxony, Germany"
1006,"Teichelberg, Bavaria, Germany"
1007,"Creuzot, Saône, Loire, France"
1008,"Autun, France"
1009,"Tollingerberg, Styria"
1011,"Bergmersreuth, Bavaria, Germany"
1012,"Arzberg near Bayreuth, Bavaria, Germany"
1013,"Kassel, Germany"
1014,"Saint-Sévère, Dépt. Landes, France"
1015,"Santa Fiora, Toscana, Italy"
1017,"Magdalena, New Mexico, USA"
1018,"St. Creu de Ollorde, Barcelona, Spain"
1020,"Weissenfels, Saxony, Germany"
1021,"Helgoland, Germany"
1022,"Bytom (Beuthen, Silesia), Poland"
1023,"Moldawa, Banat, Romania"
1024,Galeria inf. Geg. St. Archangel
1025,"Ochansk, Perm, USSR"
1028,"Bei Freiburg i. Br., Germany"
1029,"Ullersreuth, Germany"
1030,"Chastelets, Silvaplana, Grisons, Switzerland"
3774,"Lancashire, United Kingdom"
3776,"Dalton, Lancashire, United Kingdom"
3778,"Cumberland, United Kingdom"
3779,"Derbyshire, United Kingdom"
3780,"Alston-Moor, Cumberland, United Kingdom"
3784,"Gillfoot-Mine, Earmont, Cumberland, United Kingdom"
3785,"Egremont, Cumberland, United Kingdom"
3791,"Standish-Mine, Egremont, Cumberland, United Kingdom"
3796,Iceland
3802,"Flintshire, England, United Kingdom"
3803,Kenya
3804,"Tschagirsk, Altai, USSR"
3805,"Altai, USSR"
3806,Madagascar
3807,"Estado Falcon, Venezuela"
3812,Lake Superior (Canada od. USA)
3814,"Montgomery Co., USA"
3823,"Glücksbrunnen, Thuringia, Germany"
3826,"Salzburg, Austria"
3827,Khorassau
3829,"Missouri, USA"
3831,"Hall, Tirol, Austria"
3856,"Ternel, Aragonien, Spain"
3858,"Kyschtimsk, Ural, USSR"
3865,"Brozzo, Piemonte, Italy"
3867,"Graz, Austria"
3872,"Limni, Euböa, Greece"
3873,"Lyon County, Nevada, USA"
3876,Italy
3879,"Alter Segen, Germany"
3880,"Zepse, Bosnia, Yugoslavia"
3881,"Vaihingen, Württemberg, Germany"
3883,"Ems, Nassau, Germany"
3884,"Scotland, United Kingdom"
3886,"Fanberry Mine, Cumberland, United Kingdom"
3887,"Sardinien, Italy"
3888,"Nalfidano, Italy"
3891,"Vieille Montagne, Lüttich (Liège), Belgium"
3894,"Hofsgrund, Tirol, Austria"
3895,"Dognacska, Banat, Romania"
3906,"Steinheim near Hanau, Hesse, Germany"
3909,"Lobenstein, Germany"
3911,"Schmalkalden, Thuringia, Germany"
3912,"Holzappel an der Lahn, Germany"
3913,"aus dem Zweibrückischen, Germany"
3915,"Wissen an der Sieg, Germany"
3917,"Mine Carolina, Claustal, Harz, Germany"
3919,"Neudorf am Harz, Germany"
3920,"Zwickau, Saxony, Germany"
3922,"Kollosornk, Bohemia, Czechoslovakia"
3926,"Schwaz, Tirol, Austria"
3927,"Dongo am Lago di Como, Italy"
3929,"Vienne, Dauphiné, France"
3930,"Allevard, Dépt. Isère, France"
3931,Neu-Spanien
3932,"Ivigtuk, Arsukfjord"
3933,"Frizzington, Cumberland, United Kingdom"
3935,"Redruth, Cornwall, United Kingdom"
3936,"St. Day, Cornwall, United Kingdom"
3939,"Devonshire, United Kingdom"
3944,"Wesergegend, Germany"
3946,"Nagyag, Transylvania, Romania"
3948,"Vöröspatak, Transylvania, Romania"
3949,"Kapnik, Transylvania, Romania"
3950,"Transylvania, Romania"
3952,"Hefeldam, Harz, Germany"
3956,"Oberneisein near Dietz, Nassau, Germany"
3957,"Dietz an der Lahn, Nassau, Germany"
3958,"Rotenberg, Nassau, Germany"
3959,"Mine Wolf, Herdorf, Siegerland, Westfalen, Germany"
3961,"Mine Storch, Schöneberg a. d. Sieg, Siegen, Germany"
3962,"Luz, Hautes Pyrénées, France"
3963,"Givry, Saône et Loire, France"
3964,"Puy-en-Velay, Südfrankreich"
3965,"Mende, Dépt. Lozère, France"
3966,"Bastennes, Landes, France"
3967,"Dax, Pyrénées, France"
3970,"St. Nédaire, Auvergne, France"
3971,"Clermont, Auvergne, France"
3975,"Caltanissetta, Sizilien, Italy"
3977,"Cianciana, Sizilien, Italy"
3980,"Valencia, Spain"
3983,"Molino de Aragon, Castille, Spain"
3984,"Aragonien, Spain"
3986,"Moratilla, Guadalajara, Spain"
3987,"Hüttenberg, Kärnten, Austria"
4001,"Jembach, Tirol, Austria"
4003,"Schwaz oder Brixlegg, Tirol, Austria"
4005,"Böttingen, Münsingen, Baden-Württemberg, Germany"
4011,"Betler, Hungary"
4013,"Bilin, Bohemia, Czechoslovakia"
4024,"Unisun, California, USA"
4030,"Claustal, Harz, Germany"
4031,"Sendenhorst, Westfalen, Germany"
4033,"Alpe di Seiss, Fassatal, Tirol, Italy"
4040,"Hexham, Northumberland, United Kingdom"
4042,"Northumberland, United Kingdom"
1250,"Hitterö, Norway"
1251,"Drontheim, Norway"
1252,"Plauenscher Grund, Dresden, Germany"
1253,"Planenscher, Grund near Dresden, Germany"
1254,"Jakobsberg near Nordmarken, Sweden"
1255,"Kilpatrick, Dunbarton, Scotland, United Kingdom"
1257,"Keweenaw, Lake Superior, Michigan, USA"
1258,"Lake Superior, Michigan, USA"
1263,"St. Christophe, Oisans, Dauphiné, France"
1267,"Fassatal, Tirol, Italy"
1269,Monte Gabbia near Campitello
1271,"Drio, Lepalle, Italy"
1273,"Rauschenmühle zw. Lauterecken und Kaiserslautern, Germany"
1275,"Jardonsmühl, Silesia, Poland"
1276,"Waltsch, Bohemia, Czechoslovakia"
1277,"Kreuznach, Germany"
1280,"Reichenbach, Oberstein, Germany"
1282,"Idar-Oberstein an der Nahe, Germany"
1283,"Niederkirchen, Wolfstein, Germany"
1285,"Fiskernäs, Greenland"
1286,"Falun, Sweden"
1290,"Plymouth, USA"
1291,"Uniby, North Hampshire, USA"
1292,"North Hampshire, USA"
1293,"Haddam, Connecticut, USA"
1300,"Hof Bräkke near Brevig, Langesund, Norway"
1301,"Helsingfors, Finland"
1304,"St. Pardonx, Auvergne, France"
1305,"Pontgiband, Auvergne, France"
1306,"Mauzal, Auvergne, France"
1310,"Estado de Crarà, Brazil"
1311,"Bahia, Brazil"
1312,"Santa-Fé de Bogota, Colombia"
1318,"Aduntschilon, USSR"
1333,"Tokawaja, Sibirien, USSR"
1336,"Pinzgau, Salzburg, Austria"
1337,"Heubachtal, Salzburg, Austria"
1342,"Konefjord near Falun, Sweden"
1343,"Broderbo, Falun, Sweden"
1347,"Satersdalm, Norway"
1348,"Norje Hitterö, Norway"
1349,"Villa Rica, Brazil"
1352,"Custer, Blackhills, South Dakota, USA"
1353,"Moina Districts, Island Tasmania, Australia"
1355,"Mlali, Ev. Kongwa, Tanganjika, Tanzania"
1356,"Woolewoole, Itiso near Haneti, Tanganjika, Tanzania"
1357,"Limoges, France"
1358,"Chanteloube, Auvéry, Limoges, France"
1360,"Schellerhau, Saxony, Germany"
1361,"Johanngeorgenstadt, Saxony, Germany"
1362,"Langenbielen near Reichenbach, Germany"
1363,"Rosenbach, Silesia, Poland"
1364,"Hühnerkobel near Rabenstein, Zwiesel, Bavaria, Germany"
1374,"Mine Calamita, Island Elba, Italy"
1375,"Campiglia Maritima, Italy"
1376,"Campiglia, Toscana, Italy"
1381,"Rio Marina, Island Elba, Italy"
1384,"Perwo Pawlowsk Miark, Ural, USSR"
1385,"Obira Prov Bungo, Japan"
1387,"Mont de Lans, France"
1389,"Dutton Range, Inyo County, California, USA"
1391,"Allemont, Dauphiné, France"
1394,"Oris. Dauphiné, France"
1395,"Thum., Saxony, Germany"
1396,"Kongsberg, Norway"
1397,"Chesterfield, Massachusetts, USA"
