catalog_number,location
41535,"Villamanin, Spain"
41536,"Zbirov, Bohemia, Czechoslovakia"
41543,"Grubach near Golling, Salzburg, Austria"
41544,"Mine Lindenberg, Münster, Oberlahnkreis, Hesse, Germany"
41547,"Quarry OSA, Colli Albani near Rom, Italy"
41548,"Reichweiler, Saar, Germany"
41550,"Mine Ludwig, Adlersbach, Hausach, Germany"
41552,"Schlema, Schneeberg, Erzgebirge, Saxony, Germany"
41553,"Ariccia, Colli Albani near Rom, Lazio, Italy"
41554,"Bülten-Adenstedt, Germany"
41556,"Utö, Södermanland, Sweden"
41557,"15 km nördl. Larvik, Norway"
41558,"Aquae Acetosa, Rom, Italy"
41560,"Porthowan, Cornwall, United Kingdom"
41561,"Mine Synken, Hiltveit, Iveland, Norway"
41562,"Gryting, Gjernestad, Norway"
41563,"Wernersdorf, Steiermark, Austria"
41564,"Steimke, Hannover, Germany"
41565,"Barkevika, Langesundsfjord, Norway"
41566,"Overanntjern, Modum, Norway"
41567,"Fischbach, Idar-Oberstein an der Nahe, Germany"
41568,"Winterberg, Bad Grund, Harz, Germany"
41569,"Meggen, Westfalen, Germany"
41571,"Geissbergferner, Obergurgel, Oetztal, Tirol, Austria"
41572,"11. Sohle, Bergwerksglücker-Gang, Wiemannsbucht-Schacht, Bad Grund, Harz, Germany"
41573,"Bergwerksglücker-Gang, Wiemannsbucht-Schacht, Bad Grund, Harz, Germany"
41576,"Bergwerksglücker-Gang, Claustal-Zellerfeld, Harz, Germany"
41577,"Serpentinbruch Hirt, Friesach, Kärnten, Austria"
41578,"Steinbachtal near Cernay, Vosges, France"
41580,"Kaiser Wilhelm Shaft, Claustal, Harz, Germany"
41581,"Charcas, San Luis Potosi, Mexico"
41589,"Heimspitze, Vorarlberg, Austria"
41590,"Schwarzsee, Zemmgrund, Zillertal, Tirol, Austria"
41591,"Huercal-Overa, Spain"
41593,"Druckerhütte, Saualpe, Eberstein, Prickler Halt, Kärnten, Austria"
41595,"Gorob, Namibia"
41596,"Blaue Kuppe, Farm Etemba, Namibia"
41601,"Prickler Halt, Saualpe, Kärnten, Austria"
41602,"Mine Michael, Geroldsau, Baden-Baden, Germany"
41606,"Nassau, Westfalen, Germany"
41609,"St. Prix, Massif Central, France"
41612,"Schönberg, Freiburg i. Br., Schwarzwald, Germany"
41613,"Ramsbeck, Sauerland, Westfalen, Germany"
41614,"Mine Georg, Willroterhöhe, Westerwald, Germany"
41615,"Prats Sampsor, Lérida, Spain"
41616,"Praborna di St. Marcel, Aosta, Piemonte, Italy"
41617,"Majunga, Madagascar"
41619,"Leuchtenberg, Bayrischer Wald, Germany"
41622,"Bongnes, Spain"
41624,"Nickenich, Eifel, Rheinland, Germany"
41625,"Mine Glücksrad, Oberschulenberg, Harz, Germany"
41626,"Hühnersedl, Welschensteinach, Schwarzwald, Germany"
41627,"Ichinokawa, Island Shikoku, Japan"
41629,"Warmbühl, Eger, Bohemia, Czechoslovakia"
41630,"Goiaz, Brazil"
41635,"Rudolfschacht, Marienberg, Saxony, Germany"
41640,"Mine Sulzbach-Rosenberg, Oberpfalz, Germany"
41641,"Knaben-Grube, Telemark, Norway"
41642,"Tick Canyon, Los Angeles County, California, USA"
41643,"Mine Dr. Geier, Waldalgesheim, Rhineland-Palatinate, Germany"
41644,"Kesebal, Sweden"
41648,"Otavi, Namibia"
41649,"Quarry zw. Bell + Ettringen, Eifel, Germany"
41651,"Schlüsselberg, Wünschendorf, Elster, Germany"
41652,"Mine Grünberg, Bergklemen, Germany"
41653,"Gehöft Zatzer, Alpe di Seiss, Fassatal, Tirol, Italy"
41655,"Mine Roter Bär, Andreasberg, Harz, Germany"
41656,"Achtermannshöhe, Brockengebiet, Germany"
41659,"Mine Neuglück, Wittichen, Schwarzwald, Germany"
41660,"Ambas Aguas, Spain"
41661,"Feldbach, Steiermark, Austria"
41665,"Kassandra, Chalkidiki, Greece"
41668,"Bleiwäsche, Thülen, Westfalen, Germany"
41669,"Strontian, Bellgrove, England, United Kingdom"
41671,"Grosskogel, Brixlegg, Tirol, Austria"
41672,"Rudolfschacht, Bleiberg, Kärnten, Austria"
41676,"Lichtenberg, Hof, Fichtelgebirge, Bavaria, Germany"
41680,"Zinnwald, Ehrenfriedersdorf, Saxony, Germany"
41683,"Settlingstone, Northumberland, United Kingdom"
41685,"Mine Pinge Geyer, Erzgebirge, Saxony, Germany"
41686,"Tolgus Mine, Redruth, Cornwall, United Kingdom"
41688,"Friksatd, Iveland, Norway"
41690,"Colquechake, Peru"
41692,"Jewel Tunnel, Poonah, India"
41695,"Mina San Martin, Sombbrerata, Mexico"
41696,"Oristano, Sardinien, Italy"
41697,"Petz-Bruch, Neumark, Saxony, Germany"
41698,"San Pietro, Island Elba, Italy"
41700,"Steinhaag, Obernzell, Passau, Niederbayern, Germany"
41705,"Salesel, Elbe, Germany"
41706,"Laacher See, Pulvermaar, Eifel, Rheinland, Germany"
41707,"Wiemannsbucht-Schacht, Bad Grund, Harz, Germany"
41709,"Ostseite Puflatsch, Alpe di Seiss, Fassatal, Tirol, Italy"
41710,"Talysker Bay, Island Skyl, Scotland, United Kingdom"
41711,"Puflerjoch, Alpe di Seiss, Fassatal, Tirol, Italy"
41714,"Bernitzgrün, Vogtland, Saxony, Germany"
41715,"Hocharn, Salzburg, Austria"
41716,"Mies, Yugoslavia"
41717,"Ardèche, France"
41719,"Mine Dämmelwald, Wiesloch near Heidelberg, Germany"
41721,"Saarfels, Saarbrücken, Germany"
41722,"Teneguia, Las Palmas, Spain"
41723,"Kalkscholle, Ahrensberg, Zilsdorf, Eifel, Rheinland, Germany"
41725,"Thortveit, Iveland, Norway"
41727,"Reed Station, Marin County, California, USA"
41728,"Schiffenberg, Giessen, Oberhessen, Germany"
41730,"Arensberg, Zilsdorf, Eifel, Rheinland, Germany"
41731,"Hallberg, Rigaus, Abtenau, Salzburg, Austria"
41732,"Tschardy, Turkey"
41733,"Rossberg, Rossdorf, Darmstadt, Germany"
41736,"Bellsgrove Mine, Strontian, Fort William, Inverness-Shire, United Kingdom"
41737,"Gottesgabbaue, Silberberg, Bodenmais, Bayrischer Wald, Germany"
41738,"Grosser Techelberg, Groschlattengrün, Oberpfalz, Germany"
41741,"Ankogel, Mallnitz, Kärnten, Austria"
41744,"Mine Reicher Trost, Reichenstein, Silesia, Poland"
41745,"Shaft Amerika II, Mina Ojuela, Mapimi, Durango, Mexico"
41746,"Ste.-Marie-aux-Mines (Markirch), Haut Rhin, France"
41748,"Cornwall, England, United Kingdom"
41752,"Kaliwerk Riedel, Hänigsen, Kreis Burgdorf, Hannover, Germany"
41753,"Sierra de Calatravèno, Cordoba, Spain"
41756,"Massa Marittima, Province Grosseto, Italy"
41757,"Radhausberg, Salzburg, Austria"
41761,"100m-Sohle östl., Mine Christiane, Adorf near Waldeck, Kassel, Germany"
41762,"Picos d'Europa, Santander, Spain"
41763,"Stari Trg, Trepca, Kosovska, Mitrovica, Yugoslavia"
41764,"Mapimi Mine, Mexico"
41767,"Nentershausen, Hesse, Germany"
41768,"Miami, Oklahoma, USA"
41769,"Mine Osterfeld, Oberhausen, Osterfeld, Germany"
41770,"Somberg, Ehrenfriedersdorf, Saxony, Germany"
41771,"Freudenzeche, Haiger, Dillkreis, Germany"
41774,"Oderstollen, Andreasberg, Harz, Germany"
41777,"Alberode, Aue, Erzgebirge, Germany"
41779,"San Fernando, Herdorf, Siegerland, Westfalen, Germany"
41780,"Mine Münden, Richelsdorfer Gebirge, Hesse, Germany"
41787,"Château de Salm (Salm-Château), Belgium"
41789,"Utö, Sweden"
41792,"Schiss Mine, Ludvika, Dalarma, Sweden"
41793,"Leksvig, Trondheim, Norway"
41794,"Lom, Norway"
41795,"Hiltveit, Iveland, Norway"
41796,"Blokkebukta, nördl. Delgeröa, Langesundsfjord, Norway"
41797,"Mine Käthe, St. Leonhard, Kärnten, Austria"
41798,"Norra Kärr, Oestergötland, Sweden"
41799,"Mönchnerscharte, Zillertal, Tirol, Austria"
41801,"Langesundsfjord, Norway"
41803,"Modum, Drammen, Norway"
41806,"Brosso, Ivrea, Piemonte, Italy"
41807,"Mine Villa de Ciervos, Verin, Spain"
41808,"Härtekollen, Norway"
41809,"Little Cottonwood, Canyon Salz Lake County, Utah Borat, USA"
41810,"aus einer Hausmauer, Wachsenberg, Kärnten, Austria"
41811,"Hausenberg, Pfaffenreuth, Passau, Bavaria, Germany"
41813,"Vorokafotra, Betroka, Madagascar"
41814,"Ödwinkelkees, Hohe Tauern, Stubachtal, Salzburg, Austria"
41815,"Moschitzberg, Kärnten, Austria"
41817,"Dürnstein, Steiermark, Austria"
41819,"am Meerstrand, Island Elba, Italy"
41822,"Massa Marittima, Italy"
41823,"Beisenroda, Wippratal, Harz, Germany"
41824,"Schneeberg, Passeir, Südtirol, Italy"
41826,"Otavigebirge, Namibia"
41827,"Sorno, Tierno, Province Trieste, Italy"
41829,"Willsborow, New York, USA"
41830,"Haslau, Eger, Bohemia, Czechoslovakia"
41832,"Ehrenfriedersdorf, Harzgebirge, Germany"
41833,"Mine Friedrich Christian, Wildschappach, Kinzigtal, Schwarzwald, Germany"
41834,"Lerbach, Claustal, Harz, Germany"
41837,"13. Sohle, Eichelberger Gang, Mine Hilfe Gottes, Bad Grund, Germany"
41838,"Cortez Mine, Nevada, USA"
41840,"Bad Hall, Tirol, Austria"
41844,"Island Serivos, Greece"
41845,"Mine am Wegscheiderkopf, Sulzburg, Südschwarzwald, Germany"
41846,"Rotmoostal, Obergurgel, Oetztal, Tirol, Austria"
41847,"Mine Max, Kruth, Kärnten, Austria"
41851,"Mine Rosenberg, Braubach, Rhein, Germany"
41852,"Püllersreuth, Oberpfalz, Germany"
41855,"Knipane, Iveland, Norway"
41858,"Schneckenstein, Muldenberg, Vogtland, Saxony, Germany"
41861,"Hoydalen, Tördal, Telemarken, Norway"
41862,"Bleiklien, Bamble, Norway"
41863,"Mine Alter Türk, Schneeberg, Erzgebirge, Saxony, Germany"
41870,"Alpe do le Pale, Mazzin, Fassatal, Tirol, Italy"
41871,"Island Palmaria near Spezia, Italy"
41872,"Steiner Alpe, Osttirol, Austria"
41873,"Shaft II, Kaliwerk Einigkeit, Ehmen, Fallersleben, Lower Saxony, Germany"
41874,"Pacific Coast Borax Mines, Boron, California, USA"
41876,"Sherman Mine, Burke, Idaho, USA"
41878,"Dump of old gen. Mine, San Diego, California, USA"
41880,"Roccamonfina, Rom, Italy"
41882,"Lochborn, Biber, Gelnhausen, Germany"
41884,"Quarry Rauschermühle, Niederkirchen, Pfalz, Germany"
41885,"Mine Fortuna, Breitbrunn, Erzgebirge, Germany"
41886,"Fressnitzgraben, Krieglach, Steiermark, Austria"
41889,"Mine Christian Friedrich, Siegen, Nassau, Westfalen, Germany"
41894,"Worenke, Drei Annen-Hohne, Harz, Germany"
41896,"Vallée de la Doller (Dollertal), Sewen, Haut-Rhin, France"
41899,"Bohneburg, Westfalen, Germany"
41900,"Mine Hamam und Bails, Djebel Nador, Algeria"
41901,"Mine Auguste Viktoria, Marl, Germany"
41906,"Schlainig, Burgenland, Austria"
41907,"Keeskogel, Obersulzbachtal, Salzburg, Austria"
41908,"Triberg, Schwarzwald, Germany"
41915,"Roseburg, Island Tasmania, Australia"
41916,"Mine Siebenschleen, Schneeberg-Neustädtel, Germany"
41917,"Rüdersdorf, Brandenburg, Germany"
41924,"Mine Karoline, Sulzbach-Rosenberg, Germany"
41925,"Mine Eisenkaute, Marienberg, Westerwald, Germany"
41927,"Château Lambert, Vosges, France"
41929,"Reichenweiler, Pfalz, Germany"
41930,"Tivilohofen, Reichweiler, Saar, Germany"
41931,"Mine Bülten-Adenstedt, Salzgitter, Germany"
41933,"Törlkopf, Mallnitz, Kärnten, Austria"
41934,"Mine Luise, Horhausen, Unter-Westerwald, Germany"
41939,"Stolberg, Aachen, Germany"
41940,"Minas Vagabunda, Valencia, Spain"
41944,"Mine Clara, Oberwolfach, Schwarzwald, Germany"
41945,"Bleidenstadt, Kreis Untertaunus, Hesse, Germany"
41946,"Lindener Mark, Giessen, Germany"
41950,"Biesenrode, Ost-Harz, Germany"
41952,"2000 m, Wimmertal, Gerlos-Grund, Zillertal-Alpen, Tirol, Austria"
41954,"Paps, Transvaal, South Africa"
41959,"Gradischkogel, Steiermark, Austria"
41966,"Mine Outokumpu, Kuwsjärvi, Finland"
41967,"Meggen, Pfalz, Germany"
41968,"Mine Bor, Zajecar, Serbia, Yugoslavia"
41969,"Forchermühle, Knittelfeld, Steiermark, Austria"
41970,"Torpe, Sardinien, Italy"
41971,"Alonyssos, nördliche Sporaden, Greece"
41975,"Füzen, Bonndorf, Germany"
41977,"Schlema, Erzgebirge, Saxony, Germany"
41978,"Steele Quarz Mine, Lyndhurst, Ontario, Canada"
41979,"St. Johann, Salzachtal, Austria"
41981,"Santa Rosa, Peru"
41982,"Herchenberg, Brohltal, Eifel, Rheinland, Germany"
41986,"Mina Gagillitas, Catamarca, Argentina"
41988,"Meggen, Sauerland, Germany"
41993,"Triberg, Baden, Germany"
41994,"Hellerberg, Freisen, Germany"
41995,"Blaton, Belgium"
41996,"Bergwerksglücker-Gang, Shaft Wiemannsbucht, Bad Grund, Harz, Germany"
41998,"Sierra de Calatravenno, Cordoba, Spain"
41999,"Rotkopf, Zemgrund, Zillertal, Tirol, Austria"
42000,"Gasthaus Alpenrose, Lisenser Alpe, Stubaier Alpen, Tirol, Austria"
42002,"Mac Donald Quarry, Hybla, Ontario, Canada"
42005,"Ankogel, Kärnten, Austria"
30167,"N-Flanke Chrüzlistock (Etzlital), Silenen, Uri, Switzerland"
30169,"Appenzell, Switzerland"
30170,"Montaran, Switzerland"
30188,"N unterhalb Gämmertallücke, Gurtnellen, Uri, Switzerland"
30190,"Gegend des Piz Giuv, Gurtnellen, Uri, Switzerland"
30195,"S Piz Giuv/unter Crispaltlücke, Tujetsch, Grisons, Switzerland"
30200,"N-Seite Piz Giuv, Gurtnellen, Uri, Switzerland"
30201,"N-Flanke des Fedenstock, Gurtnellen, Uri, Switzerland"
30205,"Rieder-Reusstobel ob Amsteg, Uri, Switzerland"
30208,"N-Seite Chli Mutsch, Silenen, Uri, Switzerland"
30210,"N-Fuss Chli Mutsch, Silenen, Uri, Switzerland"
31506,"Berg Aukas, Grootfontein, Otjozondjupa Region, Namibia"
31509,"oberhalb Mine Lengenbach, Binn, Valais, Switzerland"
31513,"Mellikon, Aargau, Jura, Switzerland"
31521,"Ivigtut, Arsuk, Kitaa, Greenland"
30216,"Lücke zwischen Chli Mutsch und Mutsch, Silenen, Uri, Switzerland"
30220,"Obermatt (Alp Obermatt), Gurtnellen, Uri, Switzerland"
30221,"Messerenbach, Binntal, Valais, Switzerland"
30229,"Valle di Ponte (Valle del Madone), Brissago, Ticino, Switzerland"
30230,"Bondasca, Bondo, Grisons, Switzerland"
30231,"Cacciabella, Bondo, Grisons, Switzerland"
30237,"von der Mittelmoräne des Unteraargletscher, Guttannen, Bern, Switzerland"
30238,"Val Calanca, Rossa/Arvigo, Grisons, Switzerland"
30239,"Moräne des Bächihorn, Gurtnellen, Uri, Switzerland"
30240,"Steinenrothorn near Blausee, Grengiols, Valais, Switzerland"
30243,"Pizzo del Prévat, Fusio, Ticino, Switzerland"
30245,"Aletschgletscher, Fieschertal, Valais, Switzerland"
30252,"Passo del Narèt,  Bedretto, Ticino, Switzerland"
30256,"Alpe Casaccia, Olivone, Ticino, Switzerland"
30258,"Casnil, Stampa, Grisons, Switzerland"
30260,"N-Seite Rotlauihorn, Guttannen, Bern, SchweizSchweiz"
30261,"N-Seite Rotlauihorn Guttannen, Bern, Switzerland"
30262,"Monte Sissone, Stampa, Grisons, Switzerland"
30265,"N-Seite der Gammertallücke, Gurtnellen, Uri, Switzerland"
30276,"Mine Robert, Salanfe, Evionnaz, Valais, Switzerland"
30278,"Mine des Trappistes, Mont Chemin, Vollèges, Valais, Switzerland"
30283,"Brocheni Flue, Waldenburg, Basel-Landschaft, Switzerland"
30284,"Dittingen, Basel-Landschaft, Switzerland"
30286,"Kohlholzhalde, Nenzlingen, Basel-Landschaft, Switzerland"
30288,"Quarry Bodenried, Zwingen, Basel-Landschaft, Switzerland"
30289,"Couloir Collaud (Mont Chemin), Bovernier, Valais, Switzerland"
30290,"Mine Chez Larze (Mont Chemin), Vollèges,  Valais, Switzerland"
30294,"Täschalp, Täsch, Valais, Switzerland"
30300,"Inners-Barrhorn, St. Niklaus, Valais, Switzerland"
30303,"Weisshornhütte, Randa, Valais, Switzerland"
30504,"Hamstead, Isle of Wight, United Kingdom"
30510,"San Piero, Island Elba, Italy"
30516,"Marina, Island Elba, Italy"
30520,"Thann, Haut-Rhin, France"
30534,"Erzenbachkopf, Bitschwiller-lès-Thann (Bitschweiler), Thann, Haut-Rhin, France"
30568,"Weserbergland, Germany"
30306,"Mine near Zinal, Valais, Switzerland"
30308,"Mine la Termino, St-Luc, Valais, Switzerland"
30309,"Forcletta, Oberems, Valais, Switzerland"
30311,"Mine Rotberg oberhalb Goppenstein, Ferden, Valais, Switzerland"
30312,"Mine de la Comtesse, Praz-Jean, Valais, Switzerland"
30319,"Turtmanngletscher, Oberems, Valais, Switzerland"
30320,"Mine Les Trappistes, Vollèges, Valais, Switzerland"
30333,"Nordgrat des Grüebhorn (Grubhorn), Baltschieder, Valais, Switzerland"
30344,"Hinter Geissberg, Lauwil, Basel-Landschaft, Switzerland"
30345,"Zwingen/Blauen, Basel-Landschaft, Switzerland"
30352,"Chornberg, Herznach, Aargau, Switzerland"
30353,"Quarry der Ruine Gilgenberg, Zullwil, Solothurn, Switzerland"
30365,"Renggersmatt near Arlesheim, Basel-Landschaft, Switzerland"
30369,"Weenzen, Germany"
30370,"Huppergrube Rickenbacher Mühle, Germany"
30375,"Zechstein an der Leine, Germany"
30586,"Kalahari Distr., SAR"
30587,"Erzberg (near Eisenerz, Steiermark, Austria)"
30588,"Luzenac, Pyrénées, France"
30462,"Lierbach, Oppenau, Offenburg, Baden-Württemberg, Germany"
30483,"Lissenthau, Oberpfalz, Germany"
30487,"Mine Friedrichs, Niederhövels, Siegen, Nassau, Westfalen, Germany"
30488,"Les Beaux, Provence, France"
30493,"Zemmgrund, Zillertal, Tirol, Austria"
30494,"Lisensertal, Stubaier Alpen, Austria"
30496,"Hildesheim, Germany"
30497,"Logniztal, Thuringia, Germany"
30498,"Hammer-Unterwiesental, Erzgebirge, Germany"
30402,"Quarry Chleiblauen, Blauen, Basel-Landschaft, Switzerland"
30408,"Lungental (unleserlich), Silenen, Uri, Switzerland"
30409,"Mine Grône, Grône, Valais, Switzerland"
30415,"near Wieden, Todtnau, Lörrach, Baden-Württemberg, Germany"
30500,Mittelamerika
30501,"Falkland-Inseln, Argentina"
30502,"El Golea, Sahara"
30503,Nepal
30569,"Vulkan, Italy"
30571,"Tsumo, Shimone, Japan"
30579,"Voi, Kenya"
30581,"Kochi Shikoku, Japan"
30583,"Wolfshagen, Germany"
30584,"Tohi Shizuoka, Japan"
30589,Amerika
30590,"Kiesgrube Tiergarten, Rheinfelden, Switzerland"
30591,"Punung, Indonesia"
30596,"Landmannalangar, Iceland"
30598,"Dradjat near Garut, Java, Indonesia"
30600,"Nagreg, West-Java, Indonesia"
30601,Island Tahiti
30603,"Askja, Iceland"
30604,"Marehanho, Sibirien, USSR"
30605,"Island Sky, Scotland, United Kingdom"
30606,"Sevan See, Armenia, Russia"
30609,"Adenau, Germany"
30611,"Santa Cruz, Arizona, USA"
30612,"Nudenbach, Taunus, Germany"
30613,"Holzerspitz, Binn, Valais, Switzerland"
30616,"Sewen, Wassen, Uri, Switzerland"
30617,"Faflertal, Lötschental, Valais, Switzerland"
30621,"E Piz Medel, Medel (Lucmagn), Grisons, Switzerland"
30625,"Kahlenberg, Eifel, Germany"
41048,"Pusygraben, Lölling, Kärnten, Austria"
41049,"Granatwand, Oetztal, Tirol, Austria"
41050,"Geissbergferner, Obergurgl, Oetztal, Tirol, Austria"
41057,"Rittersgrün, Erzgebirge, Germany"
41058,"Sbisa, Agrigento, Sizilien, Italy"
41059,"Schwefelgrube near Naro, Agrigento, Sizilien, Italy"
41061,"Schwefelgrube Caltanissetta, Sizilien, Italy"
41062,"Nameskardi, Myvatn, Iceland"
41063,"Weenzen, Alfeld, Leine, Germany"
41064,"Roccalmuto, Sizilien, Italy"
41065,"Stanija Albini (Sztanizsa), Transylvania, Romania"
42275,"Chvaletice, Bohemia, Czechoslovakia"
42277,"Ilimaussaq, Greenland, Denmark"
42278,"Hannebach, Eifel, Germany"
42279,"Pucher Mine, Schneeberg, Saxony, Germany"
42281,"Duranus, France"
42282,"Horni Slavkov, Bohemia, Czechoslovakia"
42283,"Huber Quarry, Horni Slavkov, Bohemia, Czechoslovakia"
42284,"Les Valettes, Valais, Switzerland"
42285,"Lodéve, Hérault, France"
42286,"Coyote Peak, Humboldt County, California, USA"
42287,"Milesov, Bohemia, Czechoslovakia"
42288,"Ilimaussaq, Greenland"
42291,"West Sunday Mine, San Miguel County, Colorado, USA"
42292,"Kvanefjeld, Ilimaussaq, Greenland"
42294,"Mina Le Cetine, Toscana, Italy"
42295,"Faluns, Sweden"
42296,"Kopeisk, Ural, USSR"
42297,"Freital, Saxony, Germany"
42299,"Lubietova, Slovakei, Czechoslovakia"
42300,"Mina di Gambatesa, Val Graveglia, Liguria, Italy"
42303,"Mossgrube, Nordmark, Sweden"
42305,"Vena, Sweden"
42307,"Bristol Silver Mine, Lincoln County, Nevada, USA"
42308,"Hoskins Mine, Grenfell, Wales, United Kingdom"
42309,"Posey Mine, San Juan County, Utah, USA"
42310,"Miask, Ural, USSR"
42313,"Malchan-Pegmatitfeld, Buriatia, Sibirien, USSR"
42314,"Achtaranga r. Viljuj, Sibirien, USSR"
42315,"Nordgruvan, Värmland, Sweden"
42318,"Widgiemooltha, Australia"
42320,"Ashburton D., Western Australia, Australia"
42321,"Umbozero, Lovozero, Halbinsel Kola, USSR"
42323,"Mount Mica Mine, Paris Hill, Maine, USA"
42324,"Alvarado Mine, Gold Hill, Tooele County, Utah, USA"
42325,"Kövagoszöllös, Hungary"
42327,"Viitaniemi, Finland"
42328,"Khan-Bogdinskij Massiv, Mongolien, Mongolia"
42329,"Halsjöberg, Sweden"
42330,"Ashburton Down's, Western Australia, Australia"
42331,"Zupkov, Slovakei, Czechoslovakia"
42333,"Vevja Quarry, Tvedalen, Norway"
42335,"Kirovskij Mine, Khibiny, Halbinsel Kola, USSR"
42336,"Khibiny, Halbinsel Kola, USSR"
42337,"Mossgruva, Nordmark, Sweden"
42338,"Mernik, Slovakei, Czechoslovakia"
42342,"Rivas, Tujetsch, Grisons, Switzerland"
42347,"Raaft (Alp Rauft), Ausserberg, Valais, Switzerland"
42348,"Eggerberg, Valais, Switzerland"
42351,"Trohlergraben, Valais, Switzerland"
42353,"Garzora, Lago di Luzzone, Aquila, Ticino, Switzerland"
42354,"Piz Ner, Aquila, Ticino, Switzerland"
42355,"Campo (Blenio), Ticino, Switzerland"
42356,"Mont Terri, Cornol, Jura, Switzerland"
42357,"Ottré, Luxembourg, Belgium"
42358,"Château de Salm (Vielsam), Luxembourg, Belgium"
42359,"Richelle, Visé, Liège, Belgium"
42360,"Quarry Liesberg, Liesberg, Basel-Landschaft, Switzerland"
42364,"Hemmiken, Basel-Landschaft, Switzerland"
42366,"Pass Lunghin, Bivio, Bergell, Switzerland"
42368,"Haldenfund, St. André, France"
42369,"Wessel Mine, Kalahari, Namibia"
42373,"Maissana, La Spezia, Italy"
42374,"Mine Novi Satanka, Ural, USSR"
42380,"Quarry von Arzo, Ticino, Switzerland"
42381,"(Bänkerjoch), Bänkerchlus, Küttigen, Aargau, Switzerland"
42382,"Passo Canciano, Poschiavo, Grisons, Switzerland"
42383,"Val Tisch near Bergün, Grisons, Switzerland"
42386,"Lai da Marmorera (Marmorera-See), Marmorera, Grisons, Switzerland"
42387,"Kuruman, Hotazel, South Africa"
42388,"Sumvitg (Somvix), Grisons, Switzerland"
42389,"Roppe, Belfort, France"
42390,"Mina di Gambatesa, Alta Liguria, Italy"
42394,"Anhöhe nordwestl. Severobaikalsk (Burjatja), Sibirien, USSR"
42395,"Lubumbashi, Shaba, Zaire (Congo)"
42397,"Pizzo Canciano, Poschiavo, Grisons, Switzerland"
42398,"Alpe Canciano, Poschiavo, Grisons, Switzerland"
42399,"San Diego Mine, Mesa Grande, San Diego County, California, USA"
42401,"Cava Schumacher, Soglio, Grisons, Switzerland"
42403,"östl. Guttannen, Bern, Switzerland"
42406,"Sieben Hengste-Höhle, Beatenberg, Bern, Switzerland"
42407,"Quarry Heister, Schinznach-Dorf, Aargau, Switzerland"
42410,"Alicante, Spain"
42412,"N'chwaning Mine, Black Rock, Kalahari, South Africa"
42413,"Brumado, Bahia, Brazil"
42415,"Avis, Windhoek, Namibia"
42416,"Boulby Mine, Lofthouse, United Kingdom"
42418,"Burg im Leimental, Basel-Landschaft, Switzerland"
42419,"Chiggiogna, Ticino, Switzerland"
42420,"Goldkronach, Bayreuth, Bavaria, Germany"
42421,"El Portal, State St. 140, Mariposa Valley, USA"
42422,"Vulkan San Antonio (1677), Fuencaliente, La Palma, Spain"
42424,"Alter Schmelzplatz, Raurisertal, Salzburg, Austria"
42426,"Schlackenplatz, Raurisertal, Salzburg, Austria"
42427,"Sammelplatz, Raurisertal, Salzburg, Austria"
42428,"Hopffeldboden, Obersulzbachtal, Salzburg, Austria"
42431,"Aouli, Mibladen, Morocco"
42433,"Taouz, Rissani, Morocco"
42434,"Mine near Touissite, Ousta, Morocco"
42435,"Bou Becker, Touissite, Ousta, Morocco"
42438,"Mine Arab near Bou Azzer, Morocco"
42439,"Touissite near Ousta, Morocco"
42441,"Pump- bzw. Speicherkraftwerkstollen, Amsteg, Uri, Switzerland"
42452,"Grants, Ambrosia District, New Mexico, USA"
42457,"Zinkhütte Genna, Letmathe, Sauerland, Germany"
42458,"Julius-Hütte near Astfeld, Harz, Germany"
42462,"Gantertal, Simplon, Valais, Switzerland"
42465,"Quarry nördl. Passau, Bavaria, Germany"
42466,"Filon du Rossignol, Chaillac, Indre, France"
42467,"Treve, Gard, France"
42469,"Saint Laurent Le Minier, Gard, France"
42472,"Sonlouze, Entraygues, Truyere, Aveyron, France"
42473,"Mine des Malines, Saint Laurent Le Minier, Gard, France"
42474,"Sonlouze d'Entraygues-sur-Truyere, Aveyron, France"
42475,"Carrière d'Argentolle, Saint Prix sous Beuvray, Saône et Loire, France"
42477,"Chamonix, Savoyen, France"
42478,"Wolfsberge, Cernosin, Bohemia, Czechoslovakia"
42480,"Schlottwitz near Dresden, Saxony, Germany"
42483,"Felbertal, Pinzgau, Austria"
42484,"Steamboat Hot Spring, Hot Springs, Arkansas, USA"
42486,"Gilgit, Pakistan"
42488,"Rabenstein, Sarntal, Germany"
42490,"Dalton, Lankashire, United Kingdom"
42499,"Mine Sophia Jacoba, Hückelhoven-Ratheim,North Rhine-Westphalia, Germany"
42501,"Thetford Mines, Mine de Black Lake, Quebec, Canada"
42507,"Vallée de Thann, Willer-sur-Thur, Haut Rhin, France"
42509,"Val Curnera, Tavetsch, Grisons, Switzerland"
42510,"Connemara, Ireland"
42511,"Dinkelberg, Südschwarzwald, Germany"
42514,"Unter-Alpfen, Schwarzwald, Germany"
42515,"angebl. Iran (eher Badakschan, USSR)"
42517,"Mönchner Karr, Zillertal, Tirol, Austria"
42523,"Quarry near Muttenz, Basel-Landschaft, Switzerland"
42524,"Saranpaul, Ural, USSR"
42525,"Marienfluss, Kuonene, Namibia"
42527,"Labukele, Nurelia Hochland (ca. 1800 m hoch), Sri Lanka"
42528,"Kuzuluk, Adapazari, Eski Haman, Turkey"
42530,"Rio Roni, Val Formazza, Piemonte, Italy"
42531,"Payette, Idaho, USA"
