catalog_number,is_part_of,material_category,cataloged_name,authoritative_name,country_name,first_order_division
,41814,Mineral,,Forsterit,,
42651,,Rock,Pyroxenfels,,Italien,Toscana
,42651,Mineral,,Augit,,
,42651,Rock,,Pyroxenfels,,
36245,,,Laumontit,Laumontit,Schweiz,Uri
,36245,Mineral,,Laumontit,,
,36245,Rock,,Granit,,
33297,,,Calcit,Calcit,Schweiz,Bern
,33297,Mineral,,Calcit,,
,33297,Rock,,Kalkstein,,
32438,,Ore,Pb-Sulfid-Erz - Ba-F-Formation,,Schweiz,Wallis
,32438,Mineral,,Fluorit,,
,32438,Mineral,,Galenit,,
,32438,Ore,,Pb-Sulfid-Erz - Ba-F-Formation,,
,32438,Mineral,,Calcit,,
41829,,Rock,Dolerit (Diabas),,Tschechien,
,41829,Mineral,,Pyroxen,,
,41829,Rock,,Dolerit (Diabas),,
,41829,Mineral,,Plagioklas,,
,41829,Mineral,,undefiniert,,
42365,,,Muskovit,Muskovit,Südafrika,Limpopo
,42365,Mineral,,Fuchsit,,
,42365,Rock,,Dolomit-Marmor,,
,42365,Mineral,,Muskovit,,
41527,,,Pentlandit,Pentlandit,Australien,Western Australia
,41527,Mineral,,Chalkopyrit,,
,41527,Mineral,,Pyrrhotin,,
,41527,Mineral,,Pentlandit,,
,41527,Ore,,Ni-Cu-Sulfid-Erz - komatiitisch,,
41285,,,Enargit,Enargit,Peru,
,41285,Ore,,Cu-Sulfid-Erz - Gang-Typ,,
,41285,Mineral,,Enargit,,
40496,,,Kupfer,Kupfer,Vereinigte Staaten von Amerika (USA),Michigan
,40496,Mineral,,Quarz,,
,40496,Ore,,Cu-Metall-Erz - Michigan-Typ,,
,40496,Mineral,,Kupfer,,
,40496,Rock,,Basalt s.l.,,
,40496,Mineral,,Epidot,,
41488,,,Sphalerit,Sphalerit,Japan,Gifu / Gihu
,41488,Ore,,Zn-Sulfid-Erz - Skarn-Typ,,
,41488,Mineral,,Hedenbergit,,
,41488,Mineral,,Sphalerit,,
40998,,,Galenit,Galenit,Irland,Leinster / Laighin
,40998,Ore,,Pb-Zn-Sulfid-Erz - SEDEX,,
,40998,Mineral,,Pyrit,,
,40998,Mineral,,Sphalerit,,
,40998,Mineral,,Galenit,,
38167,,,Almandin,Almandin,Schweiz,Tessin
,38167,Mineral,,Almandin,,
,38167,Rock,,Glimmerschiefer,,
38381,,,Chamosit,Chamosit,Schweiz,Bern
,38381,Ore,,Fe-Silikat-Oolith,,
,38381,Mineral,,Chamosit,,
42121,,,Sphalerit,Sphalerit,Mexiko,Guerrero
,42121,Mineral,,Galenit,,
,42121,Mineral,,Sphalerit,,
,42121,Mineral,,Pyrit,,
,42121,Mineral,,Pyrargyrit,,
,42121,Ore,,Ag-Sulfid-Erz - Gang-Typ,,
39147,,Ore,Reduktionshof,,Schweiz,Aargau
,39147,Mineral,,Pechblende,,
,39147,Ore,,Reduktionshof,,
,39147,Mineral,,Rammelsbergit,,
,39147,Mineral,,Uraninit,,
31893,,,Eisenkarbonat,Eisenkarbonat,Schweiz,Graubünden
,31893,Mineral,,Eisenkarbonat,,
,31893,Mineral,,Quarz,,
,31893,Rock,,Glimmerschiefer,,
,31893,Mineral,,undef. Eisenhydroxid,,
,31893,Mineral,,Limonit,,
39276,,Rock,Glimmerschiefer,,Schweiz,Tessin
,39276,Rock,,Glimmerschiefer,,
,39276,Mineral,,Glimmer,,
,39276,Mineral,,allgemein,,
,39276,Mineral,,Kyanit,,
43237,,,Azurit,Azurit,Peru,Lima
,43237,Mineral,,Azurit,,
,43237,Mineral,,Malachit,,
,43237,Ore,,Cu-Oxiderz (inkl. Karbonate etc.) - Oxidationszone,,
43253,,,Kupfer,Kupfer,Peru,Lima
,43253,Ore,,Cu-Oxiderz (inkl. Karbonate etc.) - Oxidationszone,,
,43253,Mineral,,Kupfer,,
42534,,,Fluorit,Fluorit,Deutschland,Bayern
,42534,Mineral,,Eisenkiesel,,
,42534,Ore,,Fluoritgang - Ba-F-Formation,,
,42534,Rock,,Granit,,
,42534,Mineral,,Fluorit,,
,42534,Mineral,,Quarz,,
39148,,Ore,Reduktionshof,,Schweiz,Aargau
,39148,Ore,,Reduktionshof,,
,39148,Mineral,,Pechblende Roscoelith,,
,39148,Mineral,,Nickelin,,
,39148,Mineral,,Rammelsbergit,,
,39148,Mineral,,Uraninit,,
,39148,Mineral,,Wismut,,
,39148,Mineral,,Silber,,
35385,,Rock,Granit,,Schweiz,Uri
,35385,Mineral,,Limonit,,
,35385,Rock,,Granit,,
,35385,Mineral,,undef. Eisenhydroxid,,
,35385,Mineral,,Chlorit,,
39233,,Ore,Reduktionshof,,Schweiz,Aargau
,39233,Mineral,,Roscoelith,,
,39233,Mineral,,Bohdanowiczit,,
,39233,Ore,,Reduktionshof,,
43412,,Rock,Granitpegmatit,,Schweiz,Bern
,43412,Mineral,,Cordierit,,
,43412,Mineral,,Orthoklas,,
,43412,Rock,,Granitpegmatit,,
,43412,Mineral,,Quarz,,
,43412,Mineral,,Albit,,
42694,,Ore,Pb-Zn-Sulfid-Erz - Gang-Typ,Pb-Zn-Sulfid-Erz - Gang-Typ,Italien,Toscana
,42694,Ore,,Pb-Zn-Sulfid-Erz - Gang-Typ,,
,42694,Mineral,,Chalkopyrit,,
,42694,Mineral,,Sphalerit,,
,42694,Mineral,,Galenit,,
34440,,Rock,Granit,,Schweiz,Uri
,34440,Mineral,,Pyrit,,
,34440,Rock,,Granit,,
43083,,,ohne Namen,ohne Namen,Deutschland,Sachsen
,43083,Ore,,noch nicht angegeben,,
,43083,Mineral,,ohne Namen,,
,43083,Mineral,,(s. Objektbemerkung),,
48146,,Rock,Granat-Amphibolit,,Schweiz,Tessin
,48146,Mineral,,Plagioklas,,
,48146,Mineral,,Ilmenit,,
,48146,Mineral,,Hornblende,,
,48146,Mineral,,Granat,,
,48146,Rock,,Granat-Amphibolit,,
,48146,Mineral,,Epidot,,
,48146,Mineral,,undefiniert,,
5001,,Rock,Anhydrit,,Schweiz,Waadt
,5001,Mineral,,Anhydrit,,
,5001,Rock,,Anhydrit,,
39187,,,Reduktionshof,,Deutschland,Baden-Württemberg
,39187,Rock,,Tonstein,,
,39187,Mineral,,Roscoelith,,
,39187,Ore,,Reduktionshof,,
41578,,Ore,Cu-Sulfid-Erz - metamorph,Cu-Sulfid-Erz - metamorph,"China, Volksrepublik",Liaoning
,41578,Mineral,,Chalkopyrit,,
,41578,Mineral,,Pyrrhotin,,
,41578,Mineral,,Pyrit,,
,41578,Ore,,Cu-Sulfid-Erz - metamorph,,
36286,,Rock,Gneis s.l.,,Schweiz,Uri
,36286,Rock,,Gneis s.l.,,
,36286,Mineral,,Biotit,,
,36286,Mineral,,Pyrit,,
32080,,Rock,Sand (s.l.),,Schweiz,Schaffhausen
,32080,Rock,,Sand (s.l.),,
,32080,Mineral,,Quarz,,
33597,,Ore,"Mn-Erz, silikatisch - metamorph",,Schweiz,Graubünden
,33597,Ore,,"Mn-Erz, silikatisch - metamorph",,
,33597,Mineral,,Tinzenit,,
,33597,Mineral,,Rhodonit,,
,33597,Mineral,,Braunit,,
42624,,,Pyrit,Pyrit,Italien,Valle d'Aosta / Val d'Aoste
,42624,Ore,,Cu-Sulfid-Erz - metamorph,,
,42624,Mineral,,Chalkopyrit,,
,42624,Mineral,,Pyrit,,
40769,,,Kupfer,Kupfer,Vereinigte Staaten von Amerika (USA),Michigan
,40769,Rock,,Basalt s.l.,,
,40769,Mineral,,Epidot,,
,40769,Ore,,Cu-Metall-Erz - Michigan-Typ,,
,40769,Mineral,,Calcit,,
,40769,Mineral,,Kupfer,,
43471,,Rock,Sandstein,,Vereinigte Staaten von Amerika (USA),Utah
,43471,Mineral,,Goethit,,
,43471,Mineral,,Quarz,,
,43471,Rock,,Sandstein,,
