"name","name_type","name_subtype","variety_of_name"
Plumbobetafite (of Hogarth 1977),Variety,,Pyrochlore Supergroup
Plumbodolomit,Variety,,Dolomite
Plumbopyrochlore (of Skorobogatova et al.),Variety,,Pyrochlore Group
Plumbosynadelphite,Variety,,Synadelphite
Plume Agate,Variety,,Chalcedony
Poker Chip Calcite,Variety,,Calcite
Polianite,Variety,,Pyrolusite
Polyadelphite,Variety,,Andradite
Polyargite,Variety,,Pinite
Polychroilite,Variety,,Pinite
Polynite,Variety,,Clay minerals
Polyphant Stone,Variety,,Talc
Polywurtzite,Variety,,Wurtzite
Polyxene,Variety,,Platinum
Ponite,Variety,,Rhodochrosite
Porpezite,Variety,,Gold
Porricin,Variety,,Aegirine-augite
Potassium-bearing Richterite,Variety,,Richterite
Potch,Variety,,Opal
Prase,Variety,,Quartz
Prase Opal,Variety,,Opal
Prase-malachite,Variety,,Prase
Prasiolite,Variety,,Quartz
Prasochrome,Variety,,Calcite
Prasolite,Variety,,Chlorite Group
Precious Fire Opal,Variety,,Fire Opal
Precious Opal,Variety,,Opal
Prixite,Variety,,Mimetite
Prunnerite,Variety,,Calcite
Prystine,Variety,,Magnesite
Przibramite (of Huot),Variety,,Sphalerite
Pseudoapatite,Variety,,Apatite
Pseudocubic Quartz,Variety,,Quartz
Pseudogaylussite,Variety,,Calcite
Pseudolite,Variety,,Talc
Pseudomesolite,Variety,,Mesolite
Pseudothuringite,Variety,,Chamosite
Pseudozoisite,Variety,,Zoisite
Purple Jade,Variety,,Lepidolite
Pycnochlorite,Variety,,Clinochlore
Pyknite,Variety,,Topaz
Pyroclasite (of Shepard),Variety,,Hydroxylapatite
Pyrophane,Variety,,Precious Opal
Pyrorthite,Variety,,Allanite
Pyrrhoarsenite,Variety,,Manganberzeliite
Pyrrhochrysit,Variety,,Gold
Quartz Gwindel,Variety,,Quartz
Quartzine,Variety,,Chalcedony
Quatr-Bornite,Variety,,Bornite
Quetzalitztli,Variety,,Jasper
Quinzite Opal,Variety,,Opal
Radial Willemite,Variety,,Willemite
Radian Barite,Variety,,Baryte
Radiolite Opal,Variety,,Opal
Radiotine,Variety,,Serpentine Subgroup
Rainbow Aura,Variety,,Aqua Aura
Rainbow Garnet,Variety,,Andradite
Rainbow Lattice Sunstone,Variety,,Orthoclase
Rashleighite,Variety,,Turquoise
Raspberyl,Variety,,Red Beryl
Ratovkite,Variety,,Fluorite
Rb-rich Lepidolite,Variety,,Lepidolite
Red Beryl,Variety,,Beryl
Red Flash Opal,Variety,,Precious Opal
Red Ochre,Variety,,Hematite
Redondite,Variety,,Variscite
Reinite,Variety,,Ferberite
Resin Opal,Variety,,Opal
Retinalite,Variety,,Serpentine Subgroup
Rhätizite,Variety,,Kyanite
Rhenian Molybdenite,Variety,,Molybdenite
Rhodian Pentlandite,Variety,,Pentlandite
Rhodic Ferroplatinum,Variety,,Iron-Platinum alloy
Rhodic Nevyanskite,Variety,,Osmium
Rhodic Platinum,Variety,,Platinum
Rhodite,Variety,,Gold
Rhodolite,Variety,,Almandine-Pyrope Series
Riband Agate,Variety,,Agate
Riband Jasper,Variety,,Jasper
Ribeirite,Variety,,Zircon
Ricolite,Variety,,Serpentine Subgroup
Riebeckrichterite,Variety,,Richterite
Riesling Beryl,Variety,,Beryl
Ripidolite,Variety,,Clinochlore
Risörite,Variety,,Fergusonite-(Y)
Rock Crystal,Variety,,Quartz
Roepperite (of Brush),Variety,,Fayalite
Roepperite (of Kenngott),Variety,,Calcite
Rose Quartz,Variety,,Quartz
Rosolite,Variety,,Grossular
Rosstrevorite,Variety,,Epidote
Rosterite,Variety,,Caesium Beryl
Rosthornite,Variety,,Amber
Rozhkovite,Variety,,Auricupride
Rozircon,Variety,,Spinel
Rubellan,Variety,,Biotite
Rubellite,Variety,,Tourmaline
Rubicelle,Variety,,Spinel
Rubidium-bearing Muscovite,Variety,,Muscovite
Rubidium-bearing Sylvite,Variety,,Sylvite
Ruby,Variety,,Corundum
Ruby Spinel,Variety,,Spinel
Ruthenian Iridium,Variety,,Iridium
Rutheniridium,Variety,,Iridium
Ruthenosmiridium,Variety,,Iridium
Rutilated Quartz,Variety,,Quartz
Saamite (of Volkova & Melentiev),Variety,,Fluorapatite
Sagenite (of Kunz),Variety,,Quartz
Sagenite (of Saussure),Variety,,Rutile
Sakharovaite,Variety,,Jamesonite
Salite,Variety,,Diopside
Samiresite,Variety,,Uranpyrochlore (of Hogarth 1977)
Sammetblende,Variety,,Goethite
Sammtblende,Variety,,Goethite
Samtblende,Variety,,Goethite
Sand-Calcite,Variety,,Calcite
Sapphire,Variety,,Corundum
Sard,Variety,,Chalcedony
Sardonyx,Variety,,Agate
Satin Spar Gypsum,Variety,,Gypsum
Saukovite,Variety,,Metacinnabar
Sb-rich pinakiolite,Variety,,Pinakiolite
Sc-Perrierite,Variety,,Perrierite-(Ce)
Scandian Actinolite,Variety,,Actinolite
Scandian Ixiolite (of Bergstøl & Juve),Variety,,Ixiolite-(Mn2+)-Ixiolite-(Fe2+) Series
Scandian Ixiolite (of von Knorring),Variety,,Ixiolite-(Mn2+)-Ixiolite-(Fe2+) Series
Scandium Microlite (of Bergstøl & Juve),Variety,,Microlite Group
Scandium-bearing Columbite-(Fe),Variety,,Columbite-(Fe)
Scandium-bearing Tusionite,Variety,,Tusionite
Sceptre Quartz,Variety,,Quartz
Scheererite,Variety,,Ozocerite
Schefferite,Variety,,Diopside
Schernikite,Variety,,Muscovite
Schneebergite (of Brezina),Variety,,Roméite Group
Schoharite,Variety,,Baryte
Schwimmstein,Variety,,Quartz
Se-free Junoite,Variety,,Junoite
Se-free Proudite,Variety,,Proudite
Sea Foam Willemite,Variety,,Willemite
Seftonite,Variety,,Chalcedony
Selen-tellurium,Variety,,Tellurium
Seleniovaesit,Variety,,Vaesite
Selenite,Variety,,Gypsum
Selenium-bearing Bismuthinite,Variety,,Bismuthinite
Selenium-bearing Cosalite,Variety,,Cosalite
Selenium-bearing Covellite,Variety,,Covellite
Selenium-bearing Famatinite,Variety,,Famatinite
Selenium-bearing Galena,Variety,,Galena
Selenium-bearing Kobellite,Variety,,Kobellite
Selenium-bearing Metacinnabar,Variety,,Metacinnabar
Selenium-bearing Stibnite,Variety,,Stibnite
Selenium-bearing Sulphur,Variety,,Sulphur
Seraphinite,Variety,,Clinochlore
Sericite,Variety,,Muscovite
Serpentinasbest,Variety,,Serpentine Subgroup
Serpentine Jade,Variety,,Serpentine Subgroup
Shell Opal,Variety,,Opal
Sheridanite,Variety,,Clinochlore
Shocked Quartz,Variety,,Quartz
Shungite (1),Variety,,Pyrobitumen
Siberite,Variety,,Elbaite
Sicklerite,Variety,,Lithiophilite
Sideroplesite,Variety,,Mg-rich Siderite
Silfbergite (of Niggli),Variety,,Magnetite
Silico-ilmenite,Variety,,Ilmenite
Silicomanganberzeliite,Variety,,Manganberzeliite
Silicomonazite,Variety,,Monazite-(Ce)
Silicorhabdophane,Variety,,Rhabdophane
Silver- and Gold-bearing Tetrahedrite,Variety,,Tetrahedrite Subgroup
Silver- and mercury-bearing Gold,Variety,,Gold
Silver-bearing Anglesite,Variety,,Anglesite
Silver-bearing Bindheimite,Variety,,Bindheimite
Silver-bearing Bismuthinite,Variety,,Bismuthinite
Silver-bearing Bornite,Variety,,Bornite
Silver-bearing Cerussite,Variety,,Cerussite
Silver-bearing Chalcocite,Variety,,Chalcocite
Silver-bearing Chalcopyrite,Variety,,Chalcopyrite
Silver-bearing Covellite,Variety,,Covellite
Silver-bearing Enargite,Variety,,Enargite
Silver-bearing Galena,Variety,,Galena
Silver-bearing Galenobismutite,Variety,,Galenobismutite
Silver-bearing Lillianite,Variety,,Lillianite
Silver-bearing Oulankaite,Variety,,Oulankaite
Silver-bearing Pentlandite,Variety,,Pentlandite
Silver-bearing Pyrite,Variety,,Pyrite
Silver-bearing Pyrolusite,Variety,,Pyrolusite
Silver-bearing Tennantite,Variety,,Tennantite Subgroup
Silver-bearing Tetrahedrite,Variety,,Tetrahedrite Subgroup
Silver-bearing Ustarasite,Variety,,Ustarasite
Silver-bearing Wad,Variety,,Wad
Silver-bearing Wittichenite,Variety,,Wittichenite
Silver-bearing Wittite,Variety,,Wittite
Silver-bearing Xilingolite,Variety,,Xilingolite
Simetite,Variety,,Amber
Skemmatite,Variety,,Romanèchite
Skolite,Variety,,Glauconite
Slate Spar,Variety,,Calcite
Slocum Stone,Variety,,Opal
Smaragdite,Variety,,Actinolite
Smoky Quartz,Variety,,Quartz
Snakeskin Agate,Variety,,Chalcedony
Snarumite,Variety,,Gedrite
Snow,Variety,,Ice
Sobotkite,Variety,,Saponite
Soda Jadeite,Variety,,Jadeite
Soda-Augite,Variety,,Augite
Soda-Dehrnite,Variety,,Carbonate-rich Fluorapatite
Soda-Dravite,Variety,,Dravite
Soda-Glauconite,Variety,,Glauconite
Sodic Albite,Variety,,Albite
Sooty Uraninite,Variety,,Uraninite
Spandite,Variety,,Spessartine
Spectrolite,Variety,,Labradorite
Specularite,Variety,,Hematite
Sphaerodialogite,Variety,,Rhodochrosite
Sphäromagnesit,Variety,,Magnesite
Sphärosiderite,Variety,,Siderite
Spheromagnesite,Variety,,Magnesite
Spreustein,Variety,,Natrolite
Squawcreekite,Variety,,Tripuhyite
Stannoan Grossular,Variety,,Grossular
Stannoenargite,Variety,,Enargite
Stannoluzonite,Variety,,Luzonite
Stannomicrolite (of Hogarth 1977),Variety,,Microlite Group
Star Corundum,Variety,,Corundum
Star Garnet,Variety,,Almandine
Star Kornerupine,Variety,,Kornerupine
Star muscovite,Variety,,Muscovite
Star Quartz,Variety,,Quartz
Star Ruby,Variety,,Ruby
Star rutile,Variety,,Rutile
Star Sapphire,Variety,,Sapphire
Starlite,Variety,,Zircon
Stassfurtite,Variety,,Boracite
Steatite,Variety,,Talc
Sternmagnesit,Variety,,Magnesite
Stewartite (of Sutton),Variety,,Diamond
Stibiobetafite (of Černý et al.),Variety,,Pyrochlore Supergroup
Stibiodomeykite,Variety,,Domeykite
Stibioluzonite (of Schneiderhöhn & Ramdohr),Variety,,Famatinite
Stibiopyrochlore (of Pezzotta et al.),Variety,,Pyrochlore Group
Stilpnosiderite,Variety,,Limonite
Stink-Fluss,Variety,,Fluorite
Stinkkalk,Variety,,Calcite
Stone-butter,Variety,,Clay minerals
Stornesite-(Y),Variety,,Chladniite
Strigovite,Variety,,Chamosite
Strontioburbankite,Variety,,Burbankite
Strontiohilgardite,Variety,,Hilgardite
Strontiohilgardite-1Tc,Variety,,Hilgardite
Strontium-bearing Apatite,Variety,,Fluorapatite
Strontium-bearing Aragonite,Variety,,Aragonite
Strontium-bearing Baryte,Variety,,Baryte
Strontium-bearing Crandallite,Variety,,Crandallite
Strontium-bearing Fluorite,Variety,,Fluorite
Strontium-bearing Natroalunite,Variety,,Natroalunite
Strontium-bearing Piemontite,Variety,,Piemontite
Strontium-bearing Potassic-richterite,Variety,,Potassic-richterite
Strontium-bearing Thomsonite,Variety,,Thomsonite-Ca
Strontium-rich Calcite,Variety,,Calcite
Strüverite,Variety,,Rutile
Subcalcic augite,Variety,,Clinopyroxene Subgroup
Subcalcic ferroaugite,Variety,,Clinopyroxene Subgroup
Sulfite-rich thaumasite,Variety,,Thaumasite
Sulphatapatit,Variety,,Fluorapatite
Sulphate and Strontium-bearing Monazite-(Ce),Variety,,Monazite-(Ce)
Suttroper Quarz,Variety,,Quartz
Talc-chlorite,Variety,,Clinochlore
Talkapatit,Variety,,Apatite
Talktriplite,Variety,,Triplite
Tangenite,Variety,,Betafite (of Hogarth 1977)
Tantalum-bearing cassiterite,Variety,,Cassiterite
Tantalum-bearing Rutile,Variety,,Rutile
Tanzanite,Variety,,Zoisite
Taraspite,Variety,,Dolomite
Tartuffite,Variety,,Fetid Calcite
Tatarkaite,Variety,,Chlorite Group
Tautoklin,Variety,,Ankerite
Tawmawite,Variety,,Epidote
Taylorite (of Dana),Variety,,Arcanite
Tazewellite,Variety,,Meteoritic Iron
Taznite,Variety,,Bindheimite
Tecoretin,Variety,,Fichtelite
Telaspyrine,Variety,,Pyrite
Tellurium-bearing Canfieldite,Variety,,Canfieldite
Tellurium-bearing Ikunolite,Variety,,Ikunolite
Tellurium-bearing Tennantite,Variety,,Tennantite Subgroup
Tellurocanfieldite,Variety,,Canfieldite
Tellursulphur,Variety,,Sulphur
Teratolith,Variety,,Bole
Teremkovite,Variety,,Owyheeite
Teruelite,Variety,,Dolomite
Tetragonal Titanium,Variety,,Titanium
Thallium- and Arsenic-bearing Pyrite,Variety,,Pyrite
Thallium-bearing Alum-(K),Variety,,Alum-(K)
Thallium-bearing Carnotite,Variety,,Carnotite
Thallium-bearing Cryptomelane,Variety,,Cryptomelane
Thallium-bearing Murunskite,Variety,,Murunskite
Thioelaterite,Variety,,Elaterite
Thorian Britholite-(Ce),Variety,,Britholite-(Ce)
Thorian Curite,Variety,,Curite
Thorian Uraninite,Variety,,Uraninite
Thorogummite,Variety,,Thorite
Thucholite,Variety,,Pyrobitumen
Thulite,Variety,,Zoisite
Thuringite,Variety,,Chamosite
Ti Salite,Variety,,Salite
Ti-kushiroite,Variety,,Kushiroite
Tianhuang Stone,Variety,,Nacrite
Tiffany stone,Variety,,Fluorite
Tile ore,Variety,,Cuprite
Tin-bearing Andradite,Variety,,Andradite
Tin-bearing Chalcopyrite,Variety,,Chalcopyrite
Tin-bearing Copper,Variety,,Copper
Tin-bearing Ludwigite,Variety,,Ludwigite
Tin-bearing Magnetite,Variety,,Magnetite
Tin-bearing Titanite,Variety,,Titanite
Titan-låvenite,Variety,,Låvenite
Titan-uranoan Fluorcalciomicrolite,Variety,,Fluorcalciomicrolite
Titan-uranoan Oxycalciopyrochlore,Variety,,Oxycalciopyrochlore
Titanian Troilite,Variety,,Troilite
Titanium Quartz,Variety,,Aqua Aura
Titanium- and Potassium-bearing Richterite,Variety,,Richterite
Titanium-bearing Aegirine,Variety,,Aegirine
Titanium-bearing Andalusite,Variety,,Andalusite
Titanium-bearing Andradite,Variety,,Andradite
Titanium-bearing Augite,Variety,,Augite
Titanium-bearing Berthierine,Variety,,Berthierine
Titanium-bearing Biotite,Variety,,Biotite
Titanium-bearing Chromite,Variety,,Chromite
Titanium-bearing Corundum,Variety,,Corundum
Titanium-bearing Diopside,Variety,,Diopside
Titanium-bearing Garnet,Variety,,Garnet Group
Titanium-bearing Jadeite,Variety,,Jadeite
Titanium-bearing Magnetite,Variety,,Magnetite
Titanium-bearing Omphacite,Variety,,Omphacite
Titanium-bearing Phlogopite,Variety,,Phlogopite
Titanium-bearing Pyrope,Variety,,Pyrope
Titanium-bearing Samarskite-(Y),Variety,,Samarskite-(Y)
Titanmelanite,Variety,,Andradite
Titano-spinel,Variety,,Spinel
Titanochondrodite,Variety,,Chondrodite
Titanocolumbite,Variety,,Columbite
Titanohematite,Variety,,Hematite
Toad's Eye Tin,Variety,,Cassiterite
Topazolite,Variety,,Andradite
Transvaal Jade,Variety,,Grossular
Trapiche emerald,Variety,,Emerald
Trapiche Quartz,Variety,,Quartz
Trapiche ruby,Variety,,Ruby
Trapiche tourmaline,Variety,,Tourmaline
Traversellite,Variety,,Diopside
Traversoite,Variety,,Chrysocolla
Tremolitasbest,Variety,,Tremolite
Triclinic Titanite,Variety,,Titanite
Trillium,Variety,,Apatite
Troostite,Variety,,Willemite
Tsavorite,Variety,,Grossular
Tungstenian Wodginite,Variety,,Wodginite
Tungstenoan Wulfenite,Variety,,Wulfenite
Turkey-Fat Ore,Variety,,Smithsonite
Turnerite,Variety,,Monazite-(Ce)
U-Galena,Variety,,Galena
Umbalite,Variety,,Pyrope-Spessartine Series
Unnamed (Cubic NiSe2),Variety,,Penroseite
Uralite,Variety,,Amphibole Supergroup
Uranium-bearing Graphite,Variety,,Graphite
Uranium-bearing Zircon,Variety,,Zircon
Uranoan thorite,Variety,,Thorite
Uranohydrothorite,Variety,,Uranothorite
Uranoniobite (of Hermann),Variety,,Uraninite
Uranothorianite,Variety,,Thorianite
Uranothorite,Variety,,Thorite
Uranpyrochlore (of Hogarth 1977),Variety,,Pyrochlore Group
Urbanite,Variety,,Aegirine-augite
Usolite,Variety,,Calcite
Vaalite,Variety,,Vermiculite
Valencianite,Variety,,Adularia
Valuevite,Variety,,Clintonite
Vanadinbronzite,Variety,,Enstatite
Vanadio-laumontite,Variety,,Laumontite
Vanadium and Titanium-bearing Magnetite,Variety,,Magnetite
Vanadium Tourmaline,Variety,,Tourmaline
Vanadium-bearing Adelite,Variety,,Adelite
Vanadium-bearing Aegirine,Variety,,Aegirine
Vanadium-bearing Illite,Variety,,Illite
Vanadium-bearing Magnetite,Variety,,Magnetite
Vanadium-bearing Mimetite,Variety,,Mimetite
Vanadium-bearing Muscovite,Variety,,Muscovite
Vanadium-bearing phlogopite,Variety,,Phlogopite
Vanadium-bearing Rutile,Variety,,Rutile
Vanadium-bearing Spessartine,Variety,,Spessartine
Vanadium-bearing Wulfenite,Variety,,Wulfenite
Vanodiochrome spinel,Variety,,Magnetite
Vanuxemite,Variety,,Sauconite
Verdelite,Variety,,Tourmaline
Verdite,Variety,,Fuchsite
Vernadskite,Variety,,Antlerite
Viandite,Variety,,Siliceous sinter
Vietinghofite,Variety,,Samarskite-(Y)
Vilateite,Variety,,Phosphosiderite
Violan,Variety,,Diopside
Viridine,Variety,,Andalusite
Vogelaugenjaspis,Variety,,Jasper
Voltzite,Variety,,Wurtzite
Vorhauserite,Variety,,Antigorite
Vulpinite,Variety,,Anhydrite
Wackenrodite,Variety,,Wad
Wapplerite,Variety,,Rösslerite
Wash Opal,Variety,,Opal
Washingtonite,Variety,,Ilmenite
Wasite,Variety,,Allanite
Watercolour jasper,Variety,,Irnimite
Watermelon Tourmaline,Variety,,Tourmaline
Wax Opal,Variety,,Opal
Webskyite,Variety,,Antigorite
Weissite (of Trolle-Wachtmeister),Variety,,Clinochlore
Wellsite,Variety,,Phillipsite Subgroup
Wernerite,Variety,,Scapolite
Weslienite,Variety,,Roméite Group
White Jade,Variety,,Tremolite Jade
White Opal,Variety,,Precious Opal
Whitneyite,Variety,,Copper
Wickelkmamzite,Variety,,Kamacite
Wiedgerite,Variety,,Elaterite
Wilkeite,Variety,,Fluorellestadite
Wilkinite,Variety,,Smectite-claystone
Wilkite,Variety,,Jasper
Williamsite,Variety,,Antigorite
Wilsonite,Variety,,Muscovite
Withamite,Variety,,Epidote
Wodanite,Variety,,Biotite
Wolframoixiolite,Variety,,Ixiolite-(Mn2+)-Ixiolite-(Fe2+) Series
Wood Copper,Variety,,Olivenite
Wood iron (2),Variety,,Siderite
Wood Iron(1),Variety,,Goethite
Wood Tin,Variety,,Cassiterite
Xanthitane,Variety,,Anatase
Xanthite,Variety,,Vesuvianite
Xanthoarsenite,Variety,,Sarkinite
Xanthorthite,Variety,,Allanite
Xingshaoite,Variety,,Willemite
Yamaguchilite,Variety,,Zircon
Yanshainshynite,Variety,,Thorite
Yellow Seal Stone,Variety,,Dickite
Youngite,Variety,,Agate
Yowah Nut,Variety,,Boulder Opal
Yttergranat,Variety,,Andradite
Yttrium-bearing Titanite,Variety,,Titanite
Yttriumapatite,Variety,,Apatite
Yttrocerite,Variety,,Fluorite
Yttroepidote,Variety,,Allanite-Epidote
Yttrofluorite,Variety,,Fluorite
Yttrogummite,Variety,,Gummite
Yttropyrochlore (of Hogarth 1977),Variety,,Pyrochlore Group
Zero valent dominant member of Pyrochlore Group,Variety,,Pyrochlore Group
Zero valent dominant member of the Microlite Group,Variety,,Microlite Group
Zeugite,Variety,,Whitlockite
Zinc and Manganese-bearing Fluorophlogopite,Variety,,Fluorophlogopite
Zinc and Manganese-bearing Phlogopite,Variety,,Phlogopite
Zinc-bearing Acanthite,Variety,,Acanthite
Zinc-bearing and Manganese-bearing Epsomite,Variety,,Epsomite
Zinc-bearing Annabergite,Variety,,Annabergite
Zinc-bearing Aragonite,Variety,,Aragonite
Zinc-bearing Calcite,Variety,,Calcite
Zinc-bearing Cerussite,Variety,,Cerussite
Zinc-bearing Chalcopyrite,Variety,,Chalcopyrite
Zinc-bearing Devilline,Variety,,Devilline
Zinc-bearing Dolomite,Variety,,Dolomite
Zinc-bearing Garnierite,Variety,,Garnierite
Zinc-bearing Greenockite,Variety,,Greenockite
Zinc-bearing Kupletskite,Variety,,Kupletskite
Zinc-bearing Libethenite,Variety,,Libethenite
Zinc-bearing Magnetite,Variety,,Magnetite
Zinc-bearing Malachite,Variety,,Malachite
Zinc-bearing Melanterite,Variety,,Melanterite
Zinc-bearing Muscovite,Variety,,Muscovite
Zinc-bearing Olivenite,Variety,,Olivenite
Zinc-bearing Siderite,Variety,,Siderite
Zinc-bearing Stannite,Variety,,Stannite
Zinc-bearing Staurolite,Variety,,Staurolite
Zinc-bearing Talc,Variety,,Talc
Zinc-bearing Tennantite,Variety,,Tennantite Subgroup
Zinc-bearing β-Vredenburgite,Variety,,β-Vredenburgite
Zinc-Schefferite,Variety,,Diopside
Zincazurite,Variety,,Azurite
Zinclavendulan,Variety,,Lavendulan
Zincorhodochrosite,Variety,,Rhodochrosite
Zirconian Hafnon ,Variety,,Hafnon-Zircon Series
Zirconium- and Yttrium-bearing Coffinite,Variety,,Coffinite
Zirconium-bearing Halloysite,Variety,,Halloysite
Zygadite,Variety,,Albite
