"name","name_type","name_subtype","variety_of_name"
Ca- and Sr-rich Baryte,Variety,,Baryte
Ca-rich olivine,Variety,,Olivine
Ca-rich Siderite,Variety,,Siderite
Cactus Quartz,Variety,,Quartz
Cadmium-bearing Sphalerite,Variety,,Sphalerite
Cadmium-rich Wurtzite,Variety,,Wurtzite
Caesian Bazzite,Variety,,Bazzite
Caesium Beryl,Variety,,Alkali-beryl
Caesium-bearing Polylithionite,Variety,,Polylithionite
Calcareobarite,Variety,,Baryte
Calcio-duftite,Variety,,Duftite
Calciobetafite (of Mazzi & Munno),Variety,,Pyrochlore Group
Calciocelestine,Variety,,Celestine
Calciogadolinite-(Y),Variety,,Gadolinite-(Y)
Calciolyndochite,Variety,,Aeschynite-(Ce)
Calciothorite,Variety,,Thorite
Calcite Satin Spar,Variety,,Calcite
Calcium-bearing Annabergite,Variety,,Annabergite
Calcium-bearing Elpidite,Variety,,Elpidite
Calcium-bearing Graftonite,Variety,,Graftonite
Calcium-bearing Mimetite,Variety,,Mimetite
Calcium-bearing Pyromorphite,Variety,,Pyromorphite
Calcium-bearing Queitite,Variety,,Queitite
Calcium-bearing Rhodochrosite,Variety,,Rhodochrosite
Calcium-bearing Seidozerite,Variety,,Seidozerite
Calcium-bearing Sérandite,Variety,,Serandite
Calcium-bearing Wulfenite,Variety,,Wulfenite
Calcium-Eisenspessartin,Variety,,Spessartine
Calcium-Gümbelite,Variety,,Hydromuscovite
Calcium-Jarosite,Variety,,Jarosite
Calcium-lazulite,Variety,,Lazulite
Calcium-Montmorillonite,Variety,,Montmorillonite
Calcium-Pharmacosiderite,Variety,,Bariopharmacosiderite
Calyptolite,Variety,,Zircon
Campylite,Variety,,Mimetite
Canaanite,Variety,,Diopside
Cape Asbestos,Variety,,Crocidolite
Cape May Diamond,Variety,,Quartz
Capillitite,Variety,,Rhodochrosite
Caporcianite,Variety,,Laumontite
Capped Quartz,Variety,,Quartz
Capreite,Variety,,Calcite
Carbonado,Variety,,Diamond
Carbonate-fluorhydroxyapatite,Variety,,Hydroxylapatite
Carbonate-rich Apatite,Variety,,Apatite
Carbonate-rich Fluorapatite,Variety,,Fluorapatite
Carbonate-rich Hydroxylapatite,Variety,,Hydroxylapatite
Carbonate-Vishnevite,Variety,,Vishnevite
Carbonite (of Mueller),Variety,,Pyrobitumen
Carinthine,Variety,,Pargasite
Carltonite,Variety,,Iron
Carnelian,Variety,,Chalcedony
Caryocerite,Variety,,Melanocerite-(Ce)
Caswellite,Variety,,Grossular
Cat Sapphire,Variety,,Sapphire
Cat's Eye Opal,Variety,,Opal
Cat's Eye Tourmaline,Variety,,Tourmaline
Catalinite,Variety,,Jasper
Cathkinite,Variety,,Saponite
Cattle Egg Stone,Variety,,Pyrophyllite
Cd-Freibergite,Variety,,Tetrahedrite Subgroup
Cefluosil,Variety,,Britholite-(Ce)
Celestialite,Variety,,Ozocerite
Celestobarite (of Dana),Variety,,Baryte
Cellular Pyrites,Variety,,Marcasite
Cerapatite,Variety,,Apatite
Cerfluorite,Variety,,Fluorite
Cerian Barite,Variety,,Baryte
Cerian Thorianite,Variety,,Thorianite
Cerian Vesuvianite,Variety,,Vesuvianite
Ceriopyrochlore (of Hogarth 1977),Variety,,Pyrochlore Group
Cerphosphorhuttonite,Variety,,Huttonite
Cesian Analcime,Variety,,Analcime
Ceylonese Chrysolite,Variety,,Chrysoberyl
Ceylonite,Variety,,Spinel
Chacaltaîte,Variety,,Muscovite
Chalcedony,Variety,,Quartz
Chalcotrichite,Variety,,Cuprite
Changhua Stone,Variety,,Dickite
Chasovrite,Variety,,Clay minerals
Chathamite,Variety,,Löllingite
Chemawinite,Variety,,Retinite
Chengbolite,Variety,,Moncheite
Chernobylite,Variety,,Zircon
Cherry Opal,Variety,,Opal
Chesterlite,Variety,,Microcline
Chiastolite,Variety,,Andalusite
Chile-Loeweite,Variety,,Löweite
Chilenite,Variety,,Silver
Chillagite,Variety,,Wulfenite
Chinglusuite,Variety,,Neotocite
Chlorastrolite,Variety,,Pumpellyite-(Mg)
Chlorian biotite,Variety,,Biotite
Chlorian Bromargyrite,Variety,,Bromargyrite
Chlorian Chamosite,Variety,,Chamosite
Chlorian Ferro-Hornblende,Variety,,Ferro-hornblende
Chlorian Hastingsite,Variety,,Hastingsite
Chloromelanite,Variety,,Jadeite
Chlorophane,Variety,,Fluorite
Chlorosaphir,Variety,,Corundum
Chlorospinel,Variety,,Spinel
Christensenite,Variety,,Tridymite
Chrom-Biotit,Variety,,Biotite
Chrom-Lanarkite,Variety,,Lanarkite
Chromatian Lanarkite,Variety,,Lanarkite
Chrome antigorite,Variety,,Antigorite
Chrome Phlogopite,Variety,,Phlogopite
Chrome-Alumina-Hisingerite,Variety,,Hisingerite
Chrome-bearing Grossular,Variety,,Grossular
Chrome-Beidellite,Variety,,Beidellite
Chrome-Cerussite,Variety,,Cerussite
Chrome-Chalcedony,Variety,,Chalcedony
Chrome-Clinozoisite,Variety,,Clinozoisite
Chrome-diaspore,Variety,,Diaspore
Chrome-Halloysite,Variety,,Halloysite
Chrome-Kaolinite,Variety,,Kaolinite
Chrome-Nontronite,Variety,,Nontronite
Chrome-Omphacite,Variety,,Omphacite
Chrome-Pistazite,Variety,,Pistacite
Chrome-Pyroaurite,Variety,,Pyroaurite
Chrome-Pyrophyllite,Variety,,Pyrophyllite
Chrome-Tourmaline,Variety,,Tourmaline
Chrome-Tremolite,Variety,,Tremolite
Chrome-Vesuvianite,Variety,,Vesuvianite
Chrome-Zoisite,Variety,,Zoisite
Chromferrit,Variety,,Chromite
